user.screen_name,user.name,user.id_str,user.created_at,user.description,user.location,user.url,user.followers_count,user.friends_count,user.statuses_count,user.lang,user.time_zone,user.geo_enabled,user.verified,topsy.influence,text,id_str,created_at,retweet_count,in_reply_to_screen_name,in_reply_to_status_id_str,source,coordinates.type,coordinates.coordinates.0,coordinates.coordinates.1,topsy.location.search_id,topsy.document_info.lang,topsy.document_info.sentiment	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4959,421,1380,en,Eastern Time (US & Canada),,,,The Regular rate for #ESA2012 registration ends at 5:00 PM Eastern today! http://t.co/3TvIBDvu,224886197128937474,Mon Jul 16 15:20:22 +0000 2012,,,,web,,,,us,en,	
labroides,Dr. Wrasse,110031075,Sun Jan 31 03:20:58 +0000 2010,I'm a marine biologist who liked to swear too much to keep a professional profile. ,"Chicago, IL;  Suva, Fiji",,893,397,18277,en,Mountain Time (US & Canada),True,,,I feel that it is totally worth $34 to get an exit row from JFK/SEA and from SFO/JFK!! #ESA2012,224889722030399489,Mon Jul 16 15:34:22 +0000 2012,,,,web,,,,us,en,	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4960,421,1381,en,Eastern Time (US & Canada),,,,"As of Friday, 3703 people registered for #ESA2012! Portland's well on track to be the largest ESA meeting. http://t.co/8JgOb2tz",224900302367756288,Mon Jul 16 16:16:25 +0000 2012,,,,web,,,,us,en,1	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4965,423,1384,en,Eastern Time (US & Canada),,,,"Advanced registration rates for #ESA2012 have ended, but you can still register online to avoid a line. http://t.co/3TvIBDvu",225257786710302720,Tue Jul 17 15:56:56 +0000 2012,,,,web,,,,us,en,	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4965,423,1385,en,Eastern Time (US & Canada),,,,"We'll tweet when the online form has closed, closer to the conference. You can always register on site as well. #ESA2012",225258087014088705,Tue Jul 17 15:58:07 +0000 2012,,,,web,,,,us,en,1	
ESA_org,Ecological Society,18049298,Thu Dec 11 15:25:38 +0000 2008,"The Ecological Society of America is a nonprofit organization founded in 1915. Check back for EcoTone blog posts, ESA updates, podcasts, and more!","Washington, DC",http://www.esa.org,4969,423,1385,en,Eastern Time (US & Canada),,,,We could use some help filling the Buell award judging assignments for #ESA2012. See Facebook for more info. https://t.co/vxWFZq77,225324472834600960,Tue Jul 17 20:21:55 +0000 2012,,,,web,,,,us,en,1	
nceas,NCEAS,31618599,Thu Apr 16 03:01:00 +0000 2009,"National Center for Ecological Analysis & Synthesis, a research center focused on analysis & synthesis of existing data related to ecology & the environment.","Santa Barbara, CA",http://www.nceas.ucsb.edu,670,374,1277,en,Pacific Time (US & Canada),,,,RT @ESA_org: We could use some help filling the Buell award judging assignments for #ESA2012. See Facebook for more info. https://t.co/v ...,225327348646555651,Tue Jul 17 20:33:20 +0000 2012,,,,web,,,,us,en,1	
NEONInc,"NEON, Inc.",44483406,Wed Jun 03 23:04:44 +0000 2009,"NEON, Inc. contributes to environmental understanding and decisions using continental-scale ecological data. Tweets by Sandra Chung and Jennifer Walton.	
	
","Boulder, Colorado",http://www.neoninc.org,941,465,701,en,Mountain Time (US & Canada),,,,No Twitter handle on ur #ESA2012 nametag? Put a bird on it. http://t.co/nzAzAGMQ @ social media wkshop http://t.co/EUC23SjX,225385691285176321,Wed Jul 18 00:25:10 +0000 2012,,,,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",,,,us,en,	
carlystrasser,Carly Strasser,190246525,Mon Sep 13 13:26:52 +0000 2010,"Marine scientist by training, now at California Digital Library getting scientists excited about data management, sharing, and archiving. ","Berkeley, CA",http://www.carlystrasser.net,497,396,1322,en,Pacific Time (US & Canada),,,,RT @neoninc: No Twitter handle on ur #ESA2012 nametag? Put a bird on it. http://t.co/Zbze4J3N @ social media wkshop http://t.co/uqoi2BNA,225392117709668353,Wed Jul 18 00:50:43 +0000 2012,,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>",,,,us,en,	
msanclem,Mike SanClements,21828867,Wed Feb 25 03:00:00 +0000 2009,"Ecosystem ecologist interested in climate & energy. Fan of trail running, fiction, & the sounds of live music & baseball on the radio. Views are mine","Boulder, CO",http://www.mike-sanclements.com/,616,1163,4884,en,,,,,RT @carlystrasser: RT @neoninc: No Twitter handle on ur #ESA2012 nametag? Put a bird on it. http://t.co/Zbze4J3N @ social media wkshop h ...,225392511957475328,Wed Jul 18 00:52:17 +0000 2012,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,us,en,	
