"","screen_name","other_name","gender","position","other","role","org","org_other","org_other2","org_other3","other4","attended","location_notattend","usefulness","location_","twitter_usefulness","networking","twitter_uses","twitter_goals","twitte_goals2","twitter_goals3","twitter_goals4"
"1","jorgerh2o","","Male","Graduate student","","Individual (i.e. yourself)","","","","","","Yes","","","Phoenix Arizona USA","","","","","Monitor progress of peers","Discussion",""
"2","cboettig","","Male","Graduate student","","Individual (i.e. yourself)","","","","","","Yes","","","Davis, CA","","","Headlines","Research topic mining","Monitor progress of peers","Discussion","To secure research help"
"3","margaretkosmala","","Female","Graduate student","","Individual (i.e. yourself)","","","","","","Yes","","","St. Paul, Minnesota, USA","Not very useful","Not at all","Headlines","","","",""
"4","ERENweb","","Male","Professor","","","","","","","EREN collaborative ecological research and education group","Yes","","","Ferrum, Va USA but all over the US for EREN faculty","Extremely useful","Extremely useful","Headlines","Research topic mining","Monitor progress of peers","Discussion",""
"5","jebyrnes","","Male","Assistant prof","","Individual (i.e. yourself)","","","","","","Yes","","","Boston, MA, USA","","Extremely useful","Headlines","Research topic mining","Monitor progress of peers","Discussion","To secure research help"
"6","CSPO_ASU","","Female","","Academic administrator","","Non-profit organization","","","","","Yes","","","Tempe AZ USA","","","Headlines","","","",""
"7","weecology","","Female","Associate prof","","","Non-profit organization","","","","","No","Logan, UT","Extremely useful","Logan, UT","Extremely useful","Extremely useful","Headlines","Research topic mining","Monitor progress of peers","Discussion",""
"8","ethanwhite","","Male","Associate prof","","Individual (i.e. yourself)","","","","","","No","Logan, UT","Extremely useful","Logan, UT","Extremely useful","","Headlines","Research topic mining","Monitor progress of peers","Discussion",""
"9","kwren88","","Female","Associate prof","","Individual (i.e. yourself)","","","","","","No","I was in the office for the first few days, then i was at #WCH2012 for the 2nd half","Extremely useful","College Park, MD USA","Extremely useful","Extremely useful","Headlines","Research topic mining","","Discussion",""
"10","closesl","","Female","Graduate student","","Individual (i.e. yourself)","","","","","","Yes","","","Corvallis, Oregon, USA","","","Headlines","","","Discussion",""
"11","PBudBurst","","Female","","Citizen Science Coordinator","","Non-profit organization","","","","","Yes","","","Boulder, CO","","","Headlines","","","Discussion",""
"12","KikaTarsi","","Female","Graduate student","","Individual (i.e. yourself)","","","","","","Yes","","","Boulder, CO USA","","","Headlines","Research topic mining","","Discussion",""
"13","SarahBisbing","","Female","Graduate student","","Individual (i.e. yourself)","","","","","","Yes","","Extremely useful","Fort Collins, CO","Extremely useful","Extremely useful","","Research topic mining","Monitor progress of peers","Discussion",""
