keyword,Time (UTC),timestamp,cumulative_exposure
#esa2012,"Jul 22, 2012 00:00 (UTC)",1342915200,0
#esa2012,"Jul 23, 2012 00:00 (UTC)",1343001600,22154
#esa2012,"Jul 24, 2012 00:00 (UTC)",1343088000,22154
#esa2012,"Jul 25, 2012 00:00 (UTC)",1343174400,22154
#esa2012,"Jul 26, 2012 00:00 (UTC)",1343260800,44072
#esa2012,"Jul 27, 2012 00:00 (UTC)",1343347200,77239
#esa2012,"Jul 28, 2012 00:00 (UTC)",1343433600,77239
#esa2012,"Jul 29, 2012 00:00 (UTC)",1343520000,77239
#esa2012,"Jul 30, 2012 00:00 (UTC)",1343606400,128465
#esa2012,"Jul 31, 2012 00:00 (UTC)",1343692800,154172
#esa2012,"Aug 01, 2012 00:00 (UTC)",1343779200,180423
#esa2012,"Aug 02, 2012 00:00 (UTC)",1343865600,229552
#esa2012,"Aug 03, 2012 00:00 (UTC)",1343952000,324134
#esa2012,"Aug 04, 2012 00:00 (UTC)",1344038400,405041
#esa2012,"Aug 05, 2012 00:00 (UTC)",1344124800,621473
#esa2012,"Aug 06, 2012 00:00 (UTC)",1344211200,2400829
#esa2012,"Aug 07, 2012 00:00 (UTC)",1344297600,3489456
#esa2012,"Aug 08, 2012 00:00 (UTC)",1344384000,5202081
#esa2012,"Aug 09, 2012 00:00 (UTC)",1344470400,6752301
#esa2012,"Aug 10, 2012 00:00 (UTC)",1344556800,7471423
#esa2012,"Aug 11, 2012 00:00 (UTC)",1344643200,7513290
#esa2012,"Aug 12, 2012 00:00 (UTC)",1344729600,7523145
#esa2012,"Aug 13, 2012 00:00 (UTC)",1344816000,7575230
#esa2012,"Aug 14, 2012 00:00 (UTC)",1344902400,7717654
#esa2012,"Aug 15, 2012 00:00 (UTC)",1344988800,7739492
#esa2012,"Aug 16, 2012 00:00 (UTC)",1345075200,7747202
#esa2012,"Aug 17, 2012 00:00 (UTC)",1345161600,7762568
#esa2012,"Aug 18, 2012 00:00 (UTC)",1345248000,7762568
#esa2012,"Aug 19, 2012 00:00 (UTC)",1345334400,7762568
#esa2012,"Aug 20, 2012 00:00 (UTC)",1345420800,7784544
#esa2012,"Aug 21, 2012 00:00 (UTC)",1345507200,7791740
