related term,rating, 07/22/2012,07/23/2012,07/24/2012,07/25/2012, 07/26/2012, 07/27/2012, 07/28/2012, 07/29/2012, 07/30/2012, 07/31/2012, 08/01/2012, 08/02/2012, 08/03/2012, 08/04/2012, 08/05/2012, 08/06/2012, 08/07/2012,08/08/2012, 08/09/2012, 08/10/2012, 08/11/2012, 08/12/2012, 08/13/2012, 08/14/2012, 08/15/2012, 08/16/2012, 08/17/2012, 08/18/2012, 08/19/2012, 08/20/2012, 08/21/2012,tweet_content,tweet_firstpost_date,tweet_highlight,tweet_hits,tweet_mytype,tweet_score,tweet_target_birth_date,tweet_title,tweet_topsy_author_img,tweet_topsy_author_url,tweet_topsy_trackback_url,tweet_trackback_author_name,tweet_trackback_author_nick,tweet_trackback_author_url,tweet_trackback_date,tweet_trackback_permalink,tweet_trackback_total,tweet_url
ashley bateman,-88.67005165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thanks Ashley Bateman: D. Wardle explains why ecologists should publish in PLoS One vs. Nature. http://t.co/KkVTwRTK @phylogenomics #esa2012,"Aug 09, 2012 16:23 (UTC)","Thanks <span class=""highlight-term"">Ashley</span> <span class=""highlight-term"">Bateman</span>: D. Wardle explains why ecologists should publish in PLoS One vs. Nature. http://t.co/KkVTwRTK @phylogenomics <span class=""highlight-term"">#esa2012&#8230;</span>",9,tweet,5.08108,"Aug 09, 2012 16:23 (UTC)",Thanks Ashley Bateman: D. Wardle explains why ecologists should publish in PLoS One vs. Nature. http://t.co/KkVTwRTK @phylogenomics #esa2012,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1628936304/20080408_eisen_jonathan_09b_normal.jpg,http://topsy.com/twitter/phylogenomics?utm_source=otter,http://topsy.com/twitter.com/jessicaleegreen/status/233598168355442688?utm_source=otter,Jonathan Eisen,phylogenomics,http://twitter.com/phylogenomics,"Aug 09, 2012 16:24 (UTC)",http://twitter.com/phylogenomics/status/233599634507984896,8,http://twitter.com/jessicaleegreen/status/233598168355442688
#esasocial,-89.26675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,39,26,48,18,0,0,0,0,0,0,0,0,0,0,0,Great example of use of social media to de-mystify scientists: http://t.co/wjY7WjAz #ESAsocial #ESA2012,"Aug 06, 2012 19:30 (UTC)","Great example of use of social media to de-mystify scientists: http://t.co/wjY7WjAz <span class=""highlight-term"">#ESAsocial</span> <span class=""highlight-term"">#ESA2012</span> ",11,tweet,13.2947,"Aug 06, 2012 19:30 (UTC)",Great example of use of social media to de-mystify scientists: http://t.co/wjY7WjAz #ESAsocial #ESA2012,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1864779392/HeadShotMary_Twitter_normal.jpg,http://topsy.com/twitter/comprendia?utm_source=otter,http://topsy.com/twitter.com/jenedavison/status/232559084115726337?utm_source=otter,Comprendia,comprendia,http://twitter.com/comprendia,"Aug 06, 2012 23:04 (UTC)",http://twitter.com/comprendia/status/232613176775151617,10,http://twitter.com/jenedavison/status/232559084115726337
#biodivercity,-89.26675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,37,18,28,21,12,0,0,29,0,22,0,0,0,0,13,6,"Facts about the nature of urbanization, ecosystem services and biodiversity (week 1) http://t.co/Y7KFDaIc #storify #biodivercity #esa2012","Aug 14, 2012 10:22 (UTC)","Facts about the nature of urbanization, ecosystem services and biodiversity (week 1) http://t.co/Y7KFDaIc <a href=""http://topsy.com/s?q=%23storify&utm_source=ottertag"">#storify</a> <span class=""highlight-term"">#biodivercity</span> <span class=""highlight-term"">#esa2012</span> ",2,tweet,11.0316,"Aug 14, 2012 10:22 (UTC)","Facts about the nature of urbanization, ecosystem services and biodiversity (week 1) http://t.co/Y7KFDaIc #storify #biodivercity #esa2012",https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2488407090/1zt6ddkd1aym596gs363_normal.jpeg,http://topsy.com/twitter/leafwarbler?utm_source=otter,http://topsy.com/twitter.com/leafwarbler/status/235102913712775168?utm_source=otter,Madhusudan Katti,leafwarbler,http://twitter.com/leafwarbler,"Aug 13, 2012 19:57 (UTC)",http://twitter.com/leafwarbler/status/235102913712775168,1,http://twitter.com/leafwarbler/status/235102913712775168
#middleagedwhitedudes,-89.26675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#ESA2012 is a week-long Hawaiian shirt contest. There is a high correlation with gender and age. #middleagedwhitedudes,"Aug 08, 2012 17:15 (UTC)","<span class=""highlight-term"">#ESA2012</span> is a week-long Hawaiian shirt contest. There is a high correlation with gender and age. <span class=""highlight-term"">#middleagedwhitedudes</span> ",7,tweet,4.11064,"Aug 08, 2012 17:12 (UTC)",#ESA2012 is a week-long Hawaiian shirt contest. There is a high correlation with gender and age. #middleagedwhitedudes,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2488407090/1zt6ddkd1aym596gs363_normal.jpeg,http://topsy.com/twitter/leafwarbler?utm_source=otter,http://topsy.com/twitter.com/nhoughsnee/status/233249243215822848?utm_source=otter,Madhusudan Katti,leafwarbler,http://twitter.com/leafwarbler,"Aug 08, 2012 17:15 (UTC)",http://twitter.com/leafwarbler/status/233250007447379969,6,http://twitter.com/nhoughsnee/status/233249243215822848
#poopscience,-89.26675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,"MT @MiriamGoldste: Hey look it_Ñés @JacquelynGill and her bison dung fungus! Um, well, not HER dung fungus_Ñ_never mind. #ESA2012 #poopscience","Aug 10, 2012 02:05 (UTC)","MT @MiriamGoldste: Hey look it_Ñés @JacquelynGill and her bison dung fungus! Um, well, not HER dung fungus_Ñ_never mind. <span class=""highlight-term"">#ESA2012</span> <span class=""highlight-term"">#poopscience</span> ",2,tweet,5.24901,"Aug 09, 2012 23:03 (UTC)","MT @MiriamGoldste: Hey look it_Ñés @JacquelynGill and her bison dung fungus! Um, well, not HER dung fungus_Ñ_never mind. #ESA2012 #poopscience",https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/683512137/Jackie_normal.jpg,http://topsy.com/twitter/jacquelyngill?utm_source=otter,http://topsy.com/twitter.com/jacquelyngill/status/233700101669912576?utm_source=otter,Jacquelyn Gill,jacquelyngill,http://twitter.com/jacquelyngill,"Aug 09, 2012 23:03 (UTC)",http://twitter.com/jacquelyngill/status/233700101669912576,1,http://twitter.com/jacquelyngill/status/233700101669912576
#thesciencelife,-89.26675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,OH at #ESA2012: &quot;Poop is becoming really important in ecology!&quot; #poopscience #thesciencelife,"Aug 08, 2012 17:18 (UTC)","OH at <span class=""highlight-term"">#ESA2012</span>: &quot;Poop is becoming really important in ecology!&quot; <a href=""http://topsy.com/s?q=%23poopscience&utm_source=ottertag"">#poopscience</a> <span class=""highlight-term"">#thesciencelife</span> ",7,tweet,4.6885,"Aug 08, 2012 17:11 (UTC)",OH at #ESA2012: &quot;Poop is becoming really important in ecology!&quot; #poopscience #thesciencelife,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/683512137/Jackie_normal.jpg,http://topsy.com/twitter/jacquelyngill?utm_source=otter,http://topsy.com/twitter.com/jacquelyngill/status/233248959987073025?utm_source=otter,Jacquelyn Gill,jacquelyngill,http://twitter.com/jacquelyngill,"Aug 08, 2012 17:11 (UTC)",http://twitter.com/jacquelyngill/status/233248959987073025,6,http://twitter.com/jacquelyngill/status/233248959987073025
#ttjobs,-89.26675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,The Ecology &amp; Evolution jobs forum has a new incarnation for 2012-2013: http://t.co/qwzrD65t #ttjobs #ecology #ESA2012,"Aug 20, 2012 15:10 (UTC)","The Ecology &amp; Evolution jobs forum has a new incarnation for 2012-2013: http://t.co/qwzrD65t <span class=""highlight-term"">#ttjobs</span> <a href=""http://topsy.com/s?q=%23ecology&utm_source=ottertag"">#ecology</a> <span class=""highlight-term"">#ESA2012</span> ",7,tweet,7.00955,"Aug 20, 2012 15:10 (UTC)",The Ecology &amp; Evolution jobs forum has a new incarnation for 2012-2013: http://t.co/qwzrD65t #ttjobs #ecology #ESA2012,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2204965756/DSC_0130_normal.JPG,http://topsy.com/twitter/j_zelikova?utm_source=otter,http://topsy.com/twitter.com/jacquelyngill/status/237565559993147392?utm_source=otter,Jane Zelikova,j_zelikova,http://twitter.com/j_zelikova,"Aug 20, 2012 17:02 (UTC)",http://twitter.com/j_zelikova/status/237595464910909440,6,http://twitter.com/jacquelyngill/status/237565559993147392
#wch2012,-89.26675553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,46,183,145,292,140,214,51,0,0,0,0,0,0,2,Need. More. CONFERENCES! My list of upcoming biological conferences http://t.co/dU99m84u #wch2012 #ESA2012 #EcoSummit2012,"Aug 10, 2012 21:28 (UTC)","Need. More. CONFERENCES! My list of upcoming biological conferences http://t.co/dU99m84u <span class=""highlight-term"">#wch2012</span> <span class=""highlight-term"">#ESA2012</span> <a href=""http://topsy.com/s?q=%23EcoSummit2012&utm_source=ottertag"">#EcoSummit2012</a> ",4,tweet,11.886,"Aug 10, 2012 21:28 (UTC)",Need. More. CONFERENCES! My list of upcoming biological conferences http://t.co/dU99m84u #wch2012 #ESA2012 #EcoSummit2012,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2028146304/TGIQ_normal.jpg,http://topsy.com/twitter/geekinquestion?utm_source=otter,http://topsy.com/twitter.com/canfieldnat/status/234030214483673088?utm_source=otter,TGIQ (C.Ernst),geekinquestion,http://twitter.com/geekinquestion,"Aug 10, 2012 21:37 (UTC)",http://twitter.com/geekinquestion/status/234040777129480192,3,http://twitter.com/canfieldnat/status/234030214483673088
life on earth,-90.21579526,350,478,685,504,554,349,402,546,411,406,428,374,434,327,423,854,483,465,463,457,315,297,350,553,400,445,380,356,475,795,495,. .@hillaryrosner sums up #ESA2012 very well: &quot;_ÑÒLife on Earth: How F**ked Are We?&quot; http://t.co/RLiVeeAr,"Aug 09, 2012 22:58 (UTC)",". .@hillaryrosner sums up <span class=""highlight-term"">#ESA2012</span> very well: &quot;_ÑÒ<span class=""highlight-term"">Life</span> <span class=""highlight-term"">on</span> <span class=""highlight-term"">Earth</span>: How F**ked Are We?&quot; http://t.co/RLiVeeAr ",15,tweet,7.12312,"Aug 09, 2012 22:58 (UTC)",. .@hillaryrosner sums up #ESA2012 very well: &quot;_ÑÒLife on Earth: How F**ked Are We?&quot; http://t.co/RLiVeeAr,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/542653648/twitterProfilePhoto_normal.jpg,http://topsy.com/twitter/deborahblum?utm_source=otter,http://topsy.com/twitter.com/edyong209/status/233698602021699584?utm_source=otter,Deborah Blum,deborahblum,http://twitter.com/deborahblum,"Aug 11, 2012 02:25 (UTC)",http://twitter.com/deborahblum/status/234113272104755203,14,http://twitter.com/edyong209/status/233698602021699584
#oy,-91.47513607,147,115,102,198,178,120,92,78,96,133,131,94,107,85,79,116,120,133,77,81,108,101,102,119,94,90,98,82,86,195,155,Lubchenco: 70% of global fisheries have crashed or are overexploited. (The rest are _ÑÒfully exploited_Ñù). #esa2012 #oy (Fig was 0% in 1950),"Aug 06, 2012 00:47 (UTC)","Lubchenco: 70% of global fisheries have crashed or are overexploited. (The rest are _ÑÒfully exploited_Ñù). <span class=""highlight-term"">#esa2012</span> <span class=""highlight-term"">#oy</span> (Fig was 0% in 1950) ",20,tweet,8.05914,"Aug 06, 2012 00:47 (UTC)",Lubchenco: 70% of global fisheries have crashed or are overexploited. (The rest are _ÑÒfully exploited_Ñù). #esa2012 #oy (Fig was 0% in 1950),https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,http://topsy.com/twitter/edyong209?utm_source=otter,http://topsy.com/twitter.com/edyong209/status/232276593794510848?utm_source=otter,Ed Yong,edyong209,http://twitter.com/edyong209,"Aug 06, 2012 00:47 (UTC)",http://twitter.com/edyong209/status/232276593794510848,19,http://twitter.com/edyong209/status/232276593794510848
