Region,Query,Mentions,Lat/Long Mentions,Baseline Mentions,Lat/Long Mentions
World,,9377577371,110685702,9377577371,110685702
World,#esa2012,5914,26,9377577371,110685702
United States,,3508298300,38492938,3508298300,38492938
United States,#esa2012,5221,25,3508298300,38492938
Japan,,1487876320,2834141,1487876320,2834141
Japan,#esa2012,11,0,1487876320,2834141
Indonesia,,1255623336,9291102,1255623336,9291102
Indonesia,#esa2012,12,0,1255623336,9291102
Brazil,,917819757,7516295,917819757,7516295
Brazil,#esa2012,18,0,917819757,7516295
United Kingdom,,319122020,7389939,319122020,7389939
United Kingdom,#esa2012,146,0,319122020,7389939
Mexico,,215093952,3511084,215093952,3511084
Mexico,#esa2012,7,0,215093952,3511084
Spain,,205720545,4722205,205720545,4722205
Spain,#esa2012,19,0,205720545,4722205
Netherlands,,192971824,1655491,192971824,1655491
Netherlands,#esa2012,9,0,192971824,1655491
Turkey,,187259826,4265980,187259826,4265980
Turkey,#esa2012,2,0,187259826,4265980
South Korea,,169163859,654845,169163859,654845
South Korea,#esa2012,0,0,169163859,654845
Malaysia,,127029434,3339620,127029434,3339620
Malaysia,#esa2012,3,0,127029434,3339620
Thailand,,106667091,1692574,106667091,1692574
Thailand,#esa2012,1,0,106667091,1692574
Philippines,,75592036,2146708,75592036,2146708
Philippines,#esa2012,2,0,75592036,2146708
Italy,,71464905,1395047,71464905,1395047
Italy,#esa2012,6,0,71464905,1395047
France,,67420640,2518214,67420640,2518214
France,#esa2012,0,0,67420640,2518214
Russia,,57746487,1775987,57746487,1775987
Russia,#esa2012,0,0,57746487,1775987
Colombia,,53250389,747947,53250389,747947
Colombia,#esa2012,3,0,53250389,747947
Chile,,48487585,1290428,48487585,1290428
Chile,#esa2012,3,0,48487585,1290428
Canada,,37372247,1289446,37372247,1289446
Canada,#esa2012,402,1,37372247,1289446
Saudi Arabia,,27023159,1992246,27023159,1992246
Saudi Arabia,#esa2012,0,0,27023159,1992246
South Africa,,22326944,337761,22326944,337761
South Africa,#esa2012,8,0,22326944,337761
Argentina,,19810000,875011,19810000,875011
Argentina,#esa2012,0,0,19810000,875011
Sweden,,17901444,545887,17901444,545887
Sweden,#esa2012,18,0,17901444,545887
India,,16408661,374147,16408661,374147
India,#esa2012,7,0,16408661,374147
Ecuador,,15794203,279121,15794203,279121
Ecuador,#esa2012,0,0,15794203,279121
Guatemala,,15071858,108736,15071858,108736
Guatemala,#esa2012,0,0,15071858,108736
Germany,,14157391,538073,14157391,538073
