keyword,Time (UTC),timestamp,mentions,negative_sentiment,positive_sentiment,sentiment_difference,sentiment_score
#esa2012,"Jul 22, 2012 00:00 (UTC)",1342915200,0,0,0,0,50
#esa2012,"Jul 23, 2012 00:00 (UTC)",1343001600,12,0,1,1,50
#esa2012,"Jul 24, 2012 00:00 (UTC)",1343088000,0,0,0,0,50
#esa2012,"Jul 25, 2012 00:00 (UTC)",1343174400,0,0,0,0,50
#esa2012,"Jul 26, 2012 00:00 (UTC)",1343260800,13,0,1,1,50
#esa2012,"Jul 27, 2012 00:00 (UTC)",1343347200,20,0,2,2,50
#esa2012,"Jul 28, 2012 00:00 (UTC)",1343433600,0,0,0,0,50
#esa2012,"Jul 29, 2012 00:00 (UTC)",1343520000,0,0,0,0,50
#esa2012,"Jul 30, 2012 00:00 (UTC)",1343606400,39,0,5,5,60
#esa2012,"Jul 31, 2012 00:00 (UTC)",1343692800,31,1,6,5,61
#esa2012,"Aug 01, 2012 00:00 (UTC)",1343779200,34,1,8,7,71
#esa2012,"Aug 02, 2012 00:00 (UTC)",1343865600,44,0,6,6,59
#esa2012,"Aug 03, 2012 00:00 (UTC)",1343952000,66,2,17,15,76
#esa2012,"Aug 04, 2012 00:00 (UTC)",1344038400,104,4,15,11,67
#esa2012,"Aug 05, 2012 00:00 (UTC)",1344124800,187,3,35,32,79
#esa2012,"Aug 06, 2012 00:00 (UTC)",1344211200,1317,110,292,182,83
#esa2012,"Aug 07, 2012 00:00 (UTC)",1344297600,1088,124,199,75,77
#esa2012,"Aug 08, 2012 00:00 (UTC)",1344384000,1671,137,375,238,83
#esa2012,"Aug 09, 2012 00:00 (UTC)",1344470400,1162,104,234,130,77
#esa2012,"Aug 10, 2012 00:00 (UTC)",1344556800,724,73,166,93,78
#esa2012,"Aug 11, 2012 00:00 (UTC)",1344643200,59,5,29,24,82
#esa2012,"Aug 12, 2012 00:00 (UTC)",1344729600,19,0,5,5,65
#esa2012,"Aug 13, 2012 00:00 (UTC)",1344816000,60,3,20,17,82
#esa2012,"Aug 14, 2012 00:00 (UTC)",1344902400,46,0,5,5,59
#esa2012,"Aug 15, 2012 00:00 (UTC)",1344988800,32,1,13,12,79
#esa2012,"Aug 16, 2012 00:00 (UTC)",1345075200,14,1,5,4,68
#esa2012,"Aug 17, 2012 00:00 (UTC)",1345161600,10,0,5,5,87
#esa2012,"Aug 18, 2012 00:00 (UTC)",1345248000,0,0,0,0,50
#esa2012,"Aug 19, 2012 00:00 (UTC)",1345334400,0,0,0,0,50
#esa2012,"Aug 20, 2012 00:00 (UTC)",1345420800,20,0,2,2,50
#esa2012,"Aug 21, 2012 00:00 (UTC)",1345507200,8,0,3,3,50
