
------------------------------------------------------
"View Type: Trending Links"
"Created At: Aug 21, 2012 21:44 (UTC)"
"Query Terms: #ESA2012"
"Jul 22, 2012 00:00 (UTC) to Aug 21, 2012 21:44 (UTC)"
------------------------------------------------------
acceleration,firstpost_date,highlight,influential,metrics,momentum,peak,score,title,trackback_date,trackback_total,type,url
"63","Aug 09, 2012 15:14 (UTC)","Prisoners do science, help to conserve endangered butterfly http://t.co/fTT9tWAL By me for @naturenews. I love this story so much. #ESA2012","44","[1, 0, 1, 1, 1, 3, 1, 3, 5, 5, 21, 64, 187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","184","12","13.1203","Nature News Blog: Prisoners pitch in to save endangered butterfly : Nature News Blog","Aug 09, 2012 15:26 (UTC)","293","link","http://blogs.nature.com/news/2012/08/prisoners-pitch-in-to-save-endangered-butterfly.html"
"56","Aug 07, 2012 15:31 (UTC)","Numbers trump genetic diversity in survival stakes. My first #ESA2012 story for @naturenews http://t.co/HWRU72BM","9","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 20, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","35","14","13.0871","Numbers trump genetic diversity in survival stakes","Aug 07, 2012 15:49 (UTC)","62","link","http://blogs.nature.com/news/2012/08/numbers-trump-genetic-diversity-in-survival-stakes.html"
"74","Aug 10, 2012 16:07 (UTC)","Genetic diversity between top and bottom of cottonwood trees &gt; diversity between trees http://t.co/skdda2NR #ESA2012","28","[0, 2, 15, 7, 0, 3, 11, 38, 88, 17, 33, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","190","8","12.9721","Tree's leaves genetically different from its roots","Aug 10, 2012 16:26 (UTC)","259","link","http://www.nature.com/news/tree-s-leaves-genetically-different-from-its-roots-1.11156"
"64","Aug 09, 2012 20:05 (UTC)",". .@hillaryrosner sums up #ESA2012 very well: &quot;“Life on Earth: How F**ked Are We?&quot; http://t.co/RLiVeeAr","10","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 9, 61, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","55","11","12.942","To Sum Up: We Are Screwed. Questions?","Aug 09, 2012 22:57 (UTC)","86","link","http://blogs.plos.org/toothandclaw/2012/08/09/to-sum-up-we-are-screwed-questions/"
"37","Jul 30, 2012 18:18 (UTC)","I made a Twitter list for #ESA2012 but I know I am missing TONS of people. Reply if you want to be on it! http://t.co/VonFUVZm","2","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 2, 0, 2, 0, 2, 6, 7, 0, 0, 0, 0, 0, 0, 0]","10","22","12.8674","I made a Twitter list for #ESA2012 but I know I am missing TONS of people. Reply if you want to be on it!","Aug 05, 2012 17:54 (UTC)","25","link","http://twitter.com/MiriamGoldste/esa2012/members"
"61","Aug 08, 2012 23:47 (UTC)","RT @NerdyChristie: Some cool #citizenscience! RT @jebyrnes: http://t.co/TcmpndJw - the GalaxyZoo of Ecology - try it out! #esa2012","2","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","8","12","12.8548","Check out Serengeti Live  to view, ID great wildife photos! #ESA2012 #citizenscience","Aug 09, 2012 12:15 (UTC)","12","link","http://www.serengetilive.com/"
"55","Jan 30, 2012 18:23 (UTC)","Great example of use of social media to de-mystify scientists: http://t.co/wjY7WjAz #ESAsocial #ESA2012","376","[3, 0, 0, 1, 1, 0, 2, 1, 2, 1, 1, 2, 13, 3, 12, 9, 1, 0, 0, 3, 0, 4, 5, 0, 0, 0, 1, 1, 0, 0]","36","12","12.8408","This Is What A Scientist Looks Like","Aug 06, 2012 23:04 (UTC)","2884","link","http://lookslikescience.tumblr.com/"
"60","Aug 08, 2012 22:59 (UTC)","#snfs #nsfmessenger #compassmtg MT @miriamgoldste: not here at @jebyrnes #ESA2012 talk? NOT TO WORRY! slides: http://t.co/NEmegBwo #scio13","4","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","15","12","12.7769","Taking the Ecological Conversation Online","Aug 08, 2012 23:43 (UTC)","25","link","http://www.slideshare.net/JarrettByrnes/taking-the-ecological-conversation-online"
"54","May 08, 2012 23:05 (UTC)",". @MiriamGoldste’s talking about her great research at #ESA2012 on insects that skate on the sea &amp; lay eggs on plastic http://t.co/5e86nw26","28","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","8","14","12.6509","Insects that skate on the ocean benefit from plastic junk | Not Exactly Rocket Science | Discover Magazine","Aug 06, 2012 22:29 (UTC)","115","link","http://blogs.discovermagazine.com/notrocketscience/2012/05/08/insects-that-skate-on-the-ocean-benefit-from-plastic-junk/"
"56","Aug 07, 2012 17:58 (UTC)","Term “sustainability” is now a panchreston - Hurlbert #ESA2012 (defined: http://t.co/4Lb8qGuW) Great term","2","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","7","14","12.6441","Panchreston - Definition and More from the Free Merriam-Webster Dictionary","Aug 07, 2012 18:10 (UTC)","11","link","http://www.merriam-webster.com/dictionary/panchreston"
