acceleration,firstpost_date,highlight,influential,medium_thumbnail,metrics,momentum,peak,score,small_thumbnail,title,trackback_date,trackback_total,type,url
56,"Aug 07, 2012 16:50 (UTC)",This is a meeting after my own heart #ESA2012 http://t.co/1txbS40Z,3,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AztcZA4CQAAh3UU.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,14,13.1463,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AztcZA4CQAAh3UU.jpg%3Asmall,This is a meeting after my own heart #ESA2012,"Aug 07, 2012 16:50 (UTC)",9,image,http://p.twimg.com/AztcZA4CQAAh3UU.jpg
66,"Aug 08, 2012 17:09 (UTC)",How to defend against a sword made w/ shark teeth? With a helmet made out of pufferfish http://t.co/EcoU9KT7 #ESA2012 http://t.co/rxnOYXXb,4,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzyqUL4CcAEx6KK.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,8,12.665,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzyqUL4CcAEx6KK.jpg%3Asmall,How to defend against a sword made w/ shark teeth? With a helmet made out of pufferfish  #ESA2012,"Aug 08, 2012 17:11 (UTC)",12,image,http://p.twimg.com/AzyqUL4CcAEx6KK.jpg
57,"Aug 08, 2012 03:44 (UTC)",Good: @edyong209 was served his bacon cheeseburger! Bad: THEY GAVE HIM CHOPSTICKS. #esa2012 #WTFPortlandia http://t.co/3vfp3CzJ,3,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzvyKGhCQAEKlsZ.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14,13,11.8973,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzvyKGhCQAEKlsZ.jpg%3Asmall,Good: was served his bacon cheeseburger! Bad: THEY GAVE HIM CHOPSTICKS. #esa2012 #WTFPortlandia,"Aug 08, 2012 03:44 (UTC)",24,image,http://p.twimg.com/AzvyKGhCQAEKlsZ.jpg
54,"Aug 06, 2012 22:21 (UTC)",RT @KikaTarsi: Paint your nails PINK for #ESA2012. Post a picture and join the #pinkscience crew! http://t.co/O46JL7Hl,1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzpejP9CcAAsBD7.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,14,11.4267,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzpejP9CcAAsBD7.jpg%3Asmall,Paint your nails PINK for #ESA2012 if you love being a #womeninscience. Post a picture and join the #pinkscience crew!,"Aug 06, 2012 22:30 (UTC)",5,image,http://p.twimg.com/AzpejP9CcAAsBD7.jpg
54,"Aug 07, 2012 19:02 (UTC)",ESA meeting patches -- collect them all! Free patches from previous meetings available in the Exhibit Hall. #ESA2012 http://t.co/Zy0U4xoC,0,https://sis-tunnel.topsy.com/http%3A//twitpic.com/show/thumb/agngnz,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,14,11.1105,https://sis-tunnel.topsy.com/http%3A//twitpic.com/show/mini/agngnz,ESA meeting patches -- collect them all! Free patches from previous meetings available in the Exhibit Hall. #ESA2012,"Aug 07, 2012 20:34 (UTC)",3,image,http://twitpic.com/agngnz
62,"Aug 09, 2012 20:32 (UTC)","If u haven‰Ûªt stopped by the Ecological Reflections booth to see the art, ur missing out! Quilt is SPECTACULAR. #ESA2012 http://t.co/AWBg1IEr",1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az4ielACYAEYwcK.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,12,11.0595,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Az4ielACYAEYwcK.jpg%3Asmall,"If u haven‰Ûªt stopped by the Ecological Reflections booth to see the art, ur missing out! Quilt is SPECTACULAR. #ESA2012","Aug 10, 2012 05:24 (UTC)",3,image,http://p.twimg.com/Az4ielACYAEYwcK.jpg
50,"Aug 06, 2012 06:48 (UTC)",#marscuriosity #icn12 #esa2012 RT @Sleestak http://t.co/FtgbDxs7,2,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzmGg8lCUAAEF_Z.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,15,10.8361,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzmGg8lCUAAEF_Z.jpg%3Asmall,http://p.twimg.com/AzmGg8lCUAAEF_Z.jpg,"Aug 06, 2012 06:48 (UTC)",4,image,http://p.twimg.com/AzmGg8lCUAAEF_Z.jpg
54,"Aug 06, 2012 23:35 (UTC)",Weltzin&#39;s slide of &quot;about 10%&quot; of orgs collecting phenological data #citizenscience #ESA2012 http://t.co/HSpAvZns,1,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azpvd3oCcAAxUHy.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,14,10.7218,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/Azpvd3oCcAAxUHy.jpg%3Asmall,Weltzin's slide of &quot;about 10%&quot; of orgs collecting phenological data #citizenscience #ESA2012,"Aug 06, 2012 23:37 (UTC)",3,image,http://p.twimg.com/Azpvd3oCcAAxUHy.jpg
50,"Aug 06, 2012 04:11 (UTC)","En route to #ESA2012 via Alaska and Washington. Thank you, landscape. You rock. http://t.co/B0bdRif5",0,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzllE3tCEAIT4of.jpg%3Athumb,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,15,10.663,https://sis-tunnel.topsy.com/http%3A//p.twimg.com/AzllE3tCEAIT4of.jpg%3Asmall,"En route to #ESA2012 via Alaska and Washington. Thank you, landscape. You rock.","Aug 06, 2012 04:11 (UTC)",2,image,http://p.twimg.com/AzllE3tCEAIT4of.jpg
64,"Aug 10, 2012 04:07 (UTC)",Mmm  beer and science  #ESA2012 http://t.co/nkNE3wVQ,0,https://sis-tunnel.topsy.com/http%3A//cdn.topsy.com/imgsrv/r%3Fc%3D1%26s%3D1%26h%3D150%26w%3D150%26u%3Dhttp%3A//yfrog.com/es68lnsj,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,11,10.6484,https://sis-tunnel.topsy.com/http%3A//cdn.topsy.com/imgsrv/r%3Fc%3D1%26s%3D1%26h%3D75%26w%3D75%26u%3Dhttp%3A//yfrog.com/es68lnsj,Mmm  beer and science  #ESA2012,"Aug 10, 2012 04:07 (UTC)",2,image,http://yfrog.com/es68lnsj
