acceleration,author_author_img,author_description,author_image_url,author_influence_level,author_name,author_nick,author_topsy_author_url,author_type,author_url,firstpost_date,highlight,influential,metrics,momentum,peak,score,title,trackback_date,trackback_total,type,url
75,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2220970951/Josh_Fiji_normal.jpg,I am a lecturer at @Columbia University where I study fish evolution and biogeography. I also head up our MA in Conservation Biology program,http://a0.twimg.com/profile_images/2220970951/Josh_Fiji_normal.jpg,0,Joshua Drew,drew_lab,http://topsy.com/twitter/drew_lab?utm_source=otter,twitter,http://twitter.com/drew_lab,"Aug 07, 2012 17:02 (UTC)",Ever wonder how weaponized shark teeth can help us understand shifting baselines? Check out my talk Thursday #ESA2012 http://t.co/h44oV9EC,8,"[0, 0, 0, 0, 0, 0, 0, 12, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",28,8,6.53544,Ever wonder how weaponized shark teeth can help us understand shifting baselines? Check out my talk Thursday #ESA2012 http://t.co/h44oV9EC,"Aug 07, 2012 17:02 (UTC)",38,tweet,http://twitter.com/drew_lab/status/232884538072776704
61,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,"Triple-reassortant science writer: blogger @ Not Exactly Rocket Science, freelance journalist, sci-comms @ Cancer Research UK. Lives in London, married to Alice",http://a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,10,Ed Yong,edyong209,http://topsy.com/twitter/edyong209?utm_source=otter,twitter,http://twitter.com/edyong209,"Aug 09, 2012 15:26 (UTC)","Prisoners do science, help to conserve endangered butterfly http://t.co/fTT9tWAL By me for @naturenews. I love this story so much. #ESA2012",6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25,12,9.36361,"Prisoners do science, help to conserve endangered butterfly http://t.co/fTT9tWAL By me for @naturenews. I love this story so much. #ESA2012","Aug 09, 2012 15:26 (UTC)",41,tweet,http://twitter.com/edyong209/status/233585024644022272
54,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,"Triple-reassortant science writer: blogger @ Not Exactly Rocket Science, freelance journalist, sci-comms @ Cancer Research UK. Lives in London, married to Alice",http://a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,10,Ed Yong,edyong209,http://topsy.com/twitter/edyong209?utm_source=otter,twitter,http://twitter.com/edyong209,"Aug 06, 2012 22:32 (UTC)",. @MiriamGoldsteâ€™s talking about her great research at #ESA2012 on insects that skate on the sea &amp; lay eggs on plastic http://t.co/5e86nw26,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,14,12.885,. @MiriamGoldsteâ€™s talking about her great research at #ESA2012 on insects that skate on the sea &amp; lay eggs on plastic http://t.co/5e86nw26,"Aug 07, 2012 13:22 (UTC)",12,tweet,http://twitter.com/edyong209/status/232604241515130881
50,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,"Marine biologist researching plankton and plastic in the North Pacific Gyre, science communicator, blogger at #DeepSN, and general enthusiast.",http://a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,0,Miriam Goldstein,miriamgoldste,http://topsy.com/twitter/miriamgoldste?utm_source=otter,twitter,http://twitter.com/miriamgoldste,"Aug 06, 2012 19:12 (UTC)","Reminded by #ESAsocial to invite ppl to my talk this afternoon! Learn abt ecological impacts of Pacific Garbage Patch, 3:20, D136. #ESA2012",3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,15,11.4843,"Reminded by #ESAsocial to invite ppl to my talk this afternoon! Learn abt ecological impacts of Pacific Garbage Patch, 3:20, D136. #ESA2012","Aug 06, 2012 20:48 (UTC)",5,tweet,http://twitter.com/miriamgoldste/status/232554871436476416
60,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2220970951/Josh_Fiji_normal.jpg,I am a lecturer at @Columbia University where I study fish evolution and biogeography. I also head up our MA in Conservation Biology program,http://a0.twimg.com/profile_images/2220970951/Josh_Fiji_normal.jpg,0,Joshua Drew,drew_lab,http://topsy.com/twitter/drew_lab?utm_source=otter,twitter,http://twitter.com/drew_lab,"Aug 08, 2012 17:10 (UTC)",How to defend against a sword made w/ shark teeth? With a helmet made out of pufferfish http://t.co/EcoU9KT7 #ESA2012 http://t.co/rxnOYXXb,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",4,11,12.4649,How to defend against a sword made w/ shark teeth? With a helmet made out of pufferfish http://t.co/EcoU9KT7 #ESA2012 http://t.co/rxnOYXXb,"Aug 08, 2012 17:11 (UTC)",7,tweet,http://twitter.com/drew_lab/status/233248544465776640
54,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2515661772/zh2co75324z31hknps0i_normal.jpeg,"Practicing science synthesis and communication for UW College of the Environment. Fueled by science, yoga, wild places, husband, dogs, gardens, wonderment, joy",http://a0.twimg.com/profile_images/2515661772/zh2co75324z31hknps0i_normal.jpeg,0,Jen Davison,jenedavison,http://topsy.com/twitter/jenedavison?utm_source=otter,twitter,http://twitter.com/jenedavison,"Aug 06, 2012 19:30 (UTC)",Great example of use of social media to de-mystify scientists: http://t.co/wjY7WjAz #ESAsocial #ESA2012,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",6,14,12.5018,Great example of use of social media to de-mystify scientists: http://t.co/wjY7WjAz #ESAsocial #ESA2012,"Aug 06, 2012 23:04 (UTC)",11,tweet,http://twitter.com/jenedavison/status/232559084115726337
57,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,"Marine biologist researching plankton and plastic in the North Pacific Gyre, science communicator, blogger at #DeepSN, and general enthusiast.",http://a0.twimg.com/profile_images/2332075641/dhh9yympglcinw9fiah9_normal.jpeg,0,Miriam Goldstein,miriamgoldste,http://topsy.com/twitter/miriamgoldste?utm_source=otter,twitter,http://twitter.com/miriamgoldste,"Aug 08, 2012 16:35 (UTC)",â€œThey say they want diversity but they really just want that 1 Hispanic kid.â€ù -students in FIU Confluence. Sadly theyâ€™re right. #ESA2012,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,13,12.6593,â€œThey say they want diversity but they really just want that 1 Hispanic kid.â€ù -students in FIU Confluence. Sadly theyâ€™re right. #ESA2012,"Aug 08, 2012 16:46 (UTC)",16,tweet,http://twitter.com/miriamgoldste/status/233239960378028032
54,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,"Triple-reassortant science writer: blogger @ Not Exactly Rocket Science, freelance journalist, sci-comms @ Cancer Research UK. Lives in London, married to Alice",http://a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,10,Ed Yong,edyong209,http://topsy.com/twitter/edyong209?utm_source=otter,twitter,http://twitter.com/edyong209,"Aug 06, 2012 23:35 (UTC)",You know youâ€™re at a science conference when someone has just described a quiet room as â€œdepauperate of humansâ€ù. #ESA2012,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",8,14,12.9403,You know youâ€™re at a science conference when someone has just described a quiet room as â€œdepauperate of humansâ€ù. #ESA2012,"Aug 06, 2012 23:35 (UTC)",15,tweet,http://twitter.com/edyong209/status/232620957834035201
54,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,"Triple-reassortant science writer: blogger @ Not Exactly Rocket Science, freelance journalist, sci-comms @ Cancer Research UK. Lives in London, married to Alice",http://a0.twimg.com/profile_images/1731850454/Ed_normal.jpg,10,Ed Yong,edyong209,http://topsy.com/twitter/edyong209?utm_source=otter,twitter,http://twitter.com/edyong209,"Aug 07, 2012 15:47 (UTC)",Numbers trump genetic diversity in survival stakes. My first #ESA2012 story for @naturenews http://t.co/HWRU72BM,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",9,14,9.35699,Numbers trump genetic diversity in survival stakes. My first #ESA2012 story for @naturenews http://t.co/HWRU72BM,"Aug 07, 2012 15:47 (UTC)",16,tweet,http://twitter.com/edyong209/status/232865674991652864
57,https://sis-tunnel.topsy.com/http%3A//a0.twimg.com/profile_images/930783232/IMG_0033_normal.JPG,"Biodiversity scientist, engineer, derby skater",http://a0.twimg.com/profile_images/930783232/IMG_0033_normal.JPG,0,Jessica Green,jessicaleegreen,http://topsy.com/twitter/jessicaleegreen?utm_source=otter,twitter,http://twitter.com/jessicaleegreen,"Aug 08, 2012 15:06 (UTC)",Adams shows a petri dish she left in her bathroom for 24 hours loaded with fungi.  Beautiful.  #microBEnet #ESA2012,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,13,11.1582,Adams shows a petri dish she left in her bathroom for 24 hours loaded with fungi.  Beautiful.  #microBEnet #ESA2012,"Aug 08, 2012 15:07 (UTC)",3,tweet,http://twitter.com/jessicaleegreen/status/233217548303335424
